,userName,score,at,content
18,PWKI Andi,5,2022-11-22 12:32:36,good
19,Hery Wijannarko,5,2022-11-21 05:31:53,Very good
20,Stephen paulus Christianto,1,2022-11-20 18:21:40,"Setiap 2-3 detik skali keluar message notification "" bardi smart home failed to start several times"".. padahal tiap x cancel , mau matiin lampu dll Aman smua.. cman mesti klik cancel dulu baru urus lampu"
21,Amir Jeruk Nipis,5,2022-11-20 14:32:17,keren cepat nyambungnya
22,Deechan Chan,5,2022-11-19 23:43:45,the awesome apps
23,Real Madrid FansClub,4,2022-11-19 11:46:06,good
24,Surya Gumilang,1,2022-11-19 11:42:48,"Got multiple announcement when opening the app, about ""bardi failed to start several times"" and after i clear history & delete the app it still giving me the announcement. It doesnt solve any problem and annoying"
25,Rahadi Surya Hutama,5,2022-11-19 07:51:48,intuitif UI mantab
26,Budiman DB_84,5,2022-11-18 15:45:25,good product
27,Tendi Sutanto,2,2022-11-18 04:05:43,"Applikasi sering crash. Dan hari ini 2 device cctv sy ga bisa baca storage. Keduanya lgsg, secara bersamaan. Lucu sekali..."
28,nanda primidya,5,2022-11-17 08:35:23,Everything works completely fine and awesome !
29,Budi Kurniawan,5,2022-11-17 05:41:42,helpful & easy to use - technical support also patiently help us to troubleshot problem
30,Khoirul Rizal,1,2022-11-17 03:04:59,App that should only use to access or configure your home device now with non bardi ads. Very irrelevant
31,Anton Yudhanto,5,2022-11-16 11:50:50,Okee!
32,Bob Saputra,3,2022-11-16 03:48:05,Totally doesn't work on poco m3
33,Karel Bandaso,1,2022-11-15 11:13:02,sering crash aplikasinya.. tolong perbaiki.
34,Desi Elizabeth,5,2022-11-14 23:15:24,it works really well and user friendly
35,Yudi Susanto,4,2022-11-14 22:30:10,membantu sekali memgatur on off lampu
36,Rivaldi Handaka,3,2022-11-14 14:13:34,Kadang suka Force Close
37,Arya Susetyo,5,2022-11-14 12:48:25,OWESOME
38,Ary Kurniawan,5,2022-11-14 10:34:19,awesome
39,IT Bali Kuta,1,2022-11-14 10:16:11,keep asking review. thats why i gave 1 star
40,Muhammad “CKaryuusai” Abiyyu Rohman,1,2022-11-14 09:56:51,"app nya parah ngga lolos qa sama sekali ini mah, kalo mau pake bardi jangan pairing pake app sampah ini"
41,Yosef Sugianto,5,2022-11-14 03:53:26,easy to use
42,Faris Alfathin,2,2022-11-13 11:09:29,the app is hard to open.
43,klik arefun,5,2022-11-13 04:49:08,ok
44,HAILA SALONHENNA (Haila Shahab),3,2022-11-12 10:13:14,Hang pas logo bardi stelah update android 13
45,Septriyanto Edi,4,2022-11-12 08:51:15,Lampunya kalo dinyalain lama lama kok byar pet 🤔
46,Dian Anggara Prima,1,2022-11-11 21:45:01,"Been using 2 pcs Bardi CCTV for more than 6 months. The app ui is ok, picture/video is good. ""BUT"" one thing that really annoying, everytime theres power outage or wifi problem, those two devices will stay ""offline"" even after power is up again / wifi is back to normal. To resolve it, i need to reach the power charger, unplug and plug it again to power socket. It's not the problem with wifi, i have 4pcs of other cctv brand that works flawlessly everytime there's power outage / wifi problem."
47,Yudhistira Hayuatma,2,2022-11-11 20:47:42,Video Download ke HP disembunyikan lokasi penyimpanan nya. Trus fungsi nya apa kalau gak bisa di akses lewat aplikasi lain.
48,AGUSTINUS MATUSAEL GURNING,5,2022-11-11 13:21:59,Sangat bermanfaat
49,Patra Manggala,5,2022-11-11 12:57:05,"Awalnya link ke google assistant lancar, tapi beberapa hari terakhir perintah ""ok google nyalakan lampu kamar"" Jawaban google nest 2 ""maaf saya tidak mengerti"" Tapi untuk menyalakan tap to run lancar dan masih bisa, hanya perintah nyala mati lampu dan breaker saja yang di tanggapi dengan ""maaf saya tidak mengerti"" Tolong di bantu"
50,Dino Arla,5,2022-11-11 11:54:27,Thank you bardi
51,Herda Jaya (Zealmie),5,2022-11-11 09:03:29,Mantap
52,Ricky Tan,5,2022-11-10 16:59:22,"Bermanfaat , praktis dan mudah diaplikasikan"
53,Mauritzh,3,2022-11-10 14:03:42,"the lamp is good, but the app is always quitting unexpectedly."
54,Sha_Shaila,2,2022-11-10 10:04:44,"It's a good app, but crashed all the time. Its closed on its own, and open on it's own. I'm tired of that honestly. please fix this"
55,ade astria noviandry,5,2022-11-10 07:54:58,good tools
56,Aru Hernalanto,4,2022-11-10 02:58:24,the app is getting more stable. good work!
57,Yojana Agung,3,2022-11-10 00:19:28,Apps crashing need an update emergency!
58,Abiyasa 1_ Muhammad Zaki Novendra,5,2022-11-09 13:09:21,"Klaim garansi mudah, dipandu dengan baik, admin fast respon, produk juga sangat worth it di harganya"
59,fadli mauladi,5,2022-11-08 23:37:20,ok
60,Jonny Livian,5,2022-11-08 14:36:00,The best application for home monitoring at anytime.
61,Kaan Kahfi,5,2022-11-07 22:50:52,Keren!
62,ngantuxxs,5,2022-11-07 19:02:48,gud
63,puchi rhinanchi,5,2022-11-07 15:59:30,"so far, no complain. works very well"
64,Muhamad Randi Natsu Mystogan,1,2022-11-07 15:33:46,Yang versi bluetooth mudah error
65,Riki Jayaprawira,5,2022-11-07 12:44:56,so far so good..
66,Muthia Awanjas Pratama,5,2022-11-07 04:20:21,"Bardi, tolong dong upgrade teknologi, berinovasi, buat cctv yang bisa ngomong sendiri hanya dengan kita ketik dong, jd buat ibu2 pekerja beeguna banget buat ngasih tau yang dirumah kalau belum sempet ngmg lgsg atau jaringan yg terkendala utk ngmg lgsg di kamera"
67,Fajar Gunawan,5,2022-11-06 17:54:48,sangat memuaskan
68,Nio Rizki,5,2022-11-06 15:36:32,Great appnfor smart house
69,SibRo SymbianeR'z,5,2022-11-06 15:16:21,"Please add dark mode for this app, thank you"
70,Ireinne Margareth,5,2022-11-06 08:43:10,"Pengoperasian mudah, fitur juga lengkap, dan jika ada kendala, service centernya cepat tanggap serta membantu hingga masalahnya teratasi"
71,Wahyu Cahyo,1,2022-11-06 07:18:53,Lama2 aplikasi nya kok jadi lemot...
72,Muhammad Rokhanidin,5,2022-11-05 22:58:17,bagus sekali aplikasi nya
73,Reza Fadilah,5,2022-11-05 20:49:09,keren
74,Masih Misteri,1,2022-11-05 16:09:15,"lemot sekali, tombol remote ac kurang lengkap"
75,Ardhi Rahman,5,2022-11-05 14:47:36,mulus
76,Jacob Jav,5,2022-11-05 04:24:11,so far so good
77,Rinaldo Richards,5,2022-11-05 03:27:39,Nice App
78,Balu Up,3,2022-11-04 17:22:21,ok
79,Johan Andrean,5,2022-11-04 13:08:41,nice apps
80,Anugrah Ebtanto,1,2022-11-03 13:57:05,"Masuk ke halaman utama tidak bisa selalu stuck di boot menu awal (minta persetujuan) ketika di klik ""setuju"" maupun ""tidak setuju"" kembali ke menu awal lg"
81,Yayan Ahmad Yani,5,2022-11-03 13:37:46,please add motion follow
82,Ahmad Faris Zein,5,2022-11-03 11:33:20,Very Good Application 👍
83,Susanti Wardani,5,2022-11-03 07:18:53,keren tpi kurang di sleep mode tbtb bgtu knp ya?
84,Riko Taufik Akbar,2,2022-11-03 02:27:29,Schedule power on/off lampu tidak berfungsi dengan baik
85,Hadi Lukman,5,2022-11-02 05:24:29,Very good
86,lutfi anugrah,1,2022-11-01 17:07:00,"Aplikasi sering crash, juga jika terjadi pemadaman listrik device harus di scan ulang, habiskan waktu dan sangat merepotkan. Sudah lapor sana sini tetapi tidak ada solusi."
87,Abdul Aziz Marifudin,1,2022-11-01 17:04:22,"the app rn, its very slow to open bardi device,or relogin. its annoying"
88,moi moi,5,2022-11-01 14:08:31,👍 good
89,Hengky Lie,5,2022-11-01 12:39:26,"Nice, reliable"
90,Feri Cahyadi,5,2022-11-01 11:22:03,good motion.detector
91,Budi Dartono,5,2022-11-01 03:06:01,Video result include sound recording was good operated
92,Hadi Rismansyah,5,2022-10-31 13:47:20,good app
93,andri feriyansyah,5,2022-10-31 01:46:39,Bardi Smart Home Sahabat Masyarakat
94,Rahajeng Kartika,1,2022-10-30 18:39:45,Always offline even when im not turn off the lamp and always want to reconnect
95,Selvi Cristami,5,2022-10-30 13:27:26,Good
96,mi box,5,2022-10-30 12:48:39,best apps for manage iOT from bardi
97,Kurniawati kurniawati,5,2022-10-30 02:32:34,"install dan pasangnya sangat mudah, saya bisa pasang sendiri, pasti kalian juga bisa, thanks bardi"
98,Haryono Yono,5,2022-10-29 12:30:55,oke
99,Satrio Adi Bintoro,5,2022-10-29 10:40:36,applikasinya bagus ga ngelag
100,Eko Prasetyo,5,2022-10-29 05:48:45,good
101,Paul Fransius,5,2022-10-27 08:54:52,good
102,setiyo agung kalbuadi,5,2022-10-27 01:13:57,mantap
103,Rudyhart byonawa,5,2022-10-26 13:02:08,josss pokoknya
104,Buhori Muhammad,5,2022-10-26 06:18:50,great lov it
105,Nicolas Cen,5,2022-10-26 00:18:23,just nice 😁
106,HTL BOX,5,2022-10-25 20:35:23,mantap
107,Ali Yasin Surya,2,2022-10-25 17:45:33,Error much
108,I Wayan Darmawan Tjana (TJANA PHOTOGRAPHY),5,2022-10-25 17:36:32,Good Home system 👍👍👍
109,Muhammad Ali AL,5,2022-10-25 16:48:06,"Alhamdulillah, saya SANGAT PUAS Menggunakan Aplikasi BARDI Smart Home ini karna banyak fitur canggih yg dibutuhkan warga bergaya hidup modern ada dlm aplikasi ini. Saran saya untuk Produk BARDI Smart Light Bulb 9W & 12W RGBWW WiFi bisa dibikin Upgrade Version pakai WiFi+Bluetooth Combo biar lebih fleksibel saat pengguna mau memilih pakai koneksi apa. Soalnya Laptop² bbrp tahun lalu udah banyak disematkan pakai Mini PCIe WLAN+Bluetooth Combo. Karena saya tahu apa isi Bohlam BARDI tersebut."
110,Christianto K. Chandra (cheese13),5,2022-10-25 09:19:23,"Brilliant bulb, if only respond to voice or clap"
111,Fadhlur Rohman,2,2022-10-24 23:33:31,The apps just an absolute lag. I used an indoor cctv. The button in the apps was so unresponsive and the video was so laggy. Would give a 5 if the apps were better
112,cheryl soei ndoen,5,2022-10-24 06:32:22,very good
113,William Tanamal,5,2022-10-23 18:37:18,Keren.. sangat bermanfaat
114,Fauzi Ahmad,3,2022-10-23 00:40:21,"Pakai 2cctv keduanya kalau di buka dg jaringan wifi yg sama loading nya cepet dan langsung ke buka, tapi klau lagi buka di tempat lain dg jaringan mobile lelet nya minta ampun error melulu dan gak mau kebuka, padahal jaringan mobile bagus"
115,agus xaverius,2,2022-10-22 23:24:21,"Aplikasi crash terus.. Muncul keterangan ""your app has quit unexpectedly multiple times. We recommend you clear the cache and restart the app"".. Tapi cache udah clear, juga masih begitu.. Hadeh.. 😑"
116,Dwi Rahmat,2,2022-10-22 15:08:10,"setelah update malah aplikasi banyak bug aplikasi forcedstop keluar sendiri g bisa di apa""in."
117,Riski Tri Septia,5,2022-10-22 10:26:59,joss lah 👍🏻
118,Risky Seprianto,4,2022-10-22 09:13:43,untuk playback apakah bisa timenya pakai ketik?
119,Suwito Alim,5,2022-10-21 22:50:41,Bardi Smart Home offers many conveniences in human life
120,pasek abri,5,2022-10-21 04:09:40,easy to used
121,Chandra Wily Saputra,4,2022-10-21 00:19:11,Akan lebih baik kalau ada fitur watt monthly atau weekly seperti di tuya
122,Lilik Hariadi,5,2022-10-20 14:06:54,Bardi so smart
123,Ucok Chabib,5,2022-10-19 09:55:39,mantab
124,Tony Fadjar,4,2022-10-18 01:38:33,Enough... for me
125,jeckoVlog,5,2022-10-17 15:06:48,great app
126,Top selular jakarta,5,2022-10-16 23:56:48,work good
127,UdinSappe Channel,5,2022-10-16 21:30:39,Bardi smart Is Good 👍👍
128,Daniel Sadikun,5,2022-10-16 16:02:27,great
129,Harto Tri M.A.S,1,2022-10-16 15:52:08,"Setelah firmware update, 2 cctv di tempat berbeda tiba2 terdeteksi offline di hari yang sama padahal cctv nyala dan lampu biru nyala tanpa kedip (tanda inet kuat n stabil). Yang 1 charger harus dicabut dan didisconnect berkali kali baru kedeteksi online. Movement detection notif jg konstan muncul. Tapi tiap mau check gagal ngeload terus. Yang 1 lagi dicabut n disconnect tetep kedeteksi offline. Jelek bgt kualitas yg subsidi (x toped)"
130,Fahmi Hatta,1,2022-10-16 12:28:15,Aplikasi (error) sering buka tutup sendiri.
131,Andry Hp,5,2022-10-16 03:36:45,"Mantep banget, murah tapi canggih"
132,Aji Priandaka,2,2022-10-15 16:19:22,"Kalo dark mode nya nyala, appnya crash mulu"
133,Mochamad Fikri,5,2022-10-15 15:09:47,good apps
134,Yohanes Gunawan,3,2022-10-15 14:03:48,Sometimes failed to connect and bit laggy
135,Darrel,5,2022-10-15 08:36:57,saya suka produk dari bardi
136,Jons Jeck,5,2022-10-15 07:59:30,"Ada bug di OS Android 10 , aplikasi hanya bisa dibuka sekali, kedua kalinya harus restart hp baru bisa terbuka kembali. Mohon atensinya untuk segera diperbaiki mengingat cukup banyak pemakai Bardi ini di OS Android 10 Terimakasih"
137,Syukur Sabar,5,2022-10-14 13:41:39,user friendly
138,fitria indrianti,5,2022-10-14 12:08:39,easy to use
139,Ricky Sani,4,2022-10-13 09:00:28,Countdown timer doesn't work anymore 👎👎👎 Edited: They have fixed it
140,aries munandar,4,2022-10-13 01:37:02,cukup
141,Rizki Madina,2,2022-10-12 18:27:20,"2 bulan terakhir, appnya sering not responding. Ga bisa dibuka sama sekali."
142,Humani Santika Indonesia,5,2022-10-12 16:06:19,bagusss dan murah
143,Dian Sutadji,5,2022-10-12 11:44:32,bagus 👍
144,Kardi Halim,3,2022-10-12 10:36:12,"Overall UI nya cukup mudah digunakan. Saya pakai buat IP camera static Bardi untuk lihat playback, tapi playback ga bisa di fast forward dan sulit untuk dapat timestamp per detik yg pas. App juga sering crash setiap kali saya keseringan geser2 timestamp, masalahnya kan dapat timestamp nya aja ga gampang. Pas mau playback SD card juga suka ga kebaca padahal ga diapa-apain, jadi harus restart app. Tolong segera ada update ya untuk memudahkan playback IP camera nya ya. Terima kasih."
145,null,1,2022-10-12 07:38:25,"Server cctv sering tdk merespon dan gagal menampilkan streaming,speed inet saya hanya khusus utk 1 cctv Bardi 30mbps!Lalu skrg ada perubahan di konsumsi rekaman cctv jenis HD, bardi app 2thn lalu dng microsd 32gb mampu merekam full 5hari, skrg udah 1thn-an SSD yg sama n normal itu hanya bisa rekam 4hr lbh bbrp jam. Dan notifikasi alarm pergerakan cctv makin lambat munculnya!"
146,Iwal Islamuddin,5,2022-10-12 04:38:34,iya
147,Okma Winarko,5,2022-10-12 01:36:43,modelnya oke
148,Rangga Sukma Alam (Rangga),5,2022-10-11 17:13:08,nice one
149,Afidz Muchammad,5,2022-10-11 14:07:01,rancak bana
150,rifai quattro,5,2022-10-11 04:21:38,clear & simple
151,Adi Khristian,5,2022-10-10 16:51:06,pakai bardi jd lebih mudah hdpnya Dan aman
152,jasman rahim,5,2022-10-10 13:00:54,worthed 👍👍👍
153,Freddy Tobing,5,2022-10-10 08:09:55,mantap. murah tapi tidak murahan. rekomendasi sekali
154,William Surya Wijaya,2,2022-10-10 02:16:08,"Sering lemot dan bug di android, kl di iphone lancar"
155,Geri Samirin,5,2022-10-09 22:07:03,Bagus
156,Jaka Prasetya,5,2022-10-09 16:35:10,Usefull
157,Rizki Andrianto,5,2022-10-09 14:50:58,Beberapa device tidak bisa dimatikan dari google home
158,Dean,2,2022-10-09 12:22:42,Lagging and error after update just to open the app. I'll downgrade my app version
159,Ridho Tawakal,5,2022-10-09 12:15:39,ok
160,nanda yudhistira,5,2022-10-09 12:02:55,Good..
161,『 Hamzy 』,5,2022-10-09 10:11:21,"First time gunain smart device begini, dan gue seneng experience nya memuaskan, thank you Bardi!"
162,Aang Fajar Passa Putra,5,2022-10-08 23:13:29,ok bosque
163,Langen,1,2022-10-08 15:55:37,"App keeps crashing 9 out of 10 times, so frustrating, can't even dim my lights or do anything because of it"
164,Rustanti Purnomo,2,2022-10-08 08:48:52,"Saya instal Bardi apps di 2 HP utk smart door lock. Tapi dua²nya tdk memberikan data hari yg akurat utk record unlock smart door key. Yg mestinya Saturday, tertulis Wednesday di HP1 dan Sunday di HP2. Malah di HP1 tdk ada report time stamp utk data yg terjadi dihari² sblmnya. Aneh..."
165,Zamrajjasa Randi,5,2022-10-08 05:42:40,the bestt ga nyesel beli ini
166,syamsul Bahri Purnomo,5,2022-10-08 05:40:21,terbaik ga nyesel
167,SM get Miracle,3,2022-10-08 04:31:34,Thanks for the fast response technician! 3 star for now. It take me an hour wondering what can i do
168,johny tahanora,5,2022-10-08 04:11:38,Very good
169,damn i love indonesia,4,2022-10-07 13:40:12,Nice
170,Fran Wijaya Putra,1,2022-10-07 09:11:06,Aplikasinya sekarang tidak bisa dibuka/gunakan setelah update. Trus harus gimana?
171,The Professor,5,2022-10-06 21:33:48,Impressive app
172,Hasto Purnomo Wibowo,5,2022-10-06 08:38:57,mantul
173,xynzz awan,5,2022-10-05 21:59:20,sangat memudahkan hidup... masukan sepertinya masih ada bug yang perlu diberesin karena beberapa kali gagal buka app... overall sangat memuaskan 👍👍👍
174,Fabian Fatrijanto,5,2022-10-05 14:58:50,"lancar, tak ada masalah"
175,Mohammad Idris,5,2022-10-05 13:05:38,"mantab aplikasinya, bs record hasil rekaman kemaren dan tersimpan datanya di galeri hp"
176,Michael Jordan “Jordan” Senjaya,5,2022-10-05 05:13:48,work verywell
177,Marlon Siregar,5,2022-10-05 03:45:05,Recommended
178,Arief Hid,5,2022-10-04 22:00:11,very helpful and easy app operating
179,Aditya Yudha Prawira,4,2022-10-04 20:44:14,easy to use and a lot of function menu that you can setting up and customize as well. But I don't know about the data security for cctv.
180,Indra Dharmawan,5,2022-10-04 17:39:55,good
181,M RIFAL,1,2022-10-04 12:32:31,"APP SELALU FORCE CLOSE, MEMORI SELALU MINTA FORMAT, PADAHAL MEMORI SAMSUNG ENDURANCE YG KUSUS CCTV, GANTI SANDISK ENDURANCE JGA GITU. JANGAN BILANG MEMORI KW. INI APP JUGA HARUS GIMANA GABISA DI BUKAK RESTART ATAU ISNTALL ULANG OBAT NYA, TANYA KE FORUM JAWAB NYA CUMA GANTI KE VGEN2 BLABLABLA"
182,Krisna Aryavata,4,2022-10-04 11:33:25,masih agak buggy tapi uda lumayan oke
183,Lalu Rivaliqal Payanta,5,2022-10-04 08:07:06,"really helpful application, nice to try"
184,Sakarep _moe,4,2022-10-04 08:05:44,"Baik, namun masih perlu pengembangan karena sering error"
185,Budi Santoso,5,2022-10-04 02:06:53,bagus dan jelas gambar nya
186,Yudi Azhari,5,2022-10-03 19:02:45,Sangat bermanfaat
187,Dimas Prasetya,5,2022-10-03 16:52:01,Sangat membantu
188,Azwar Fembi,5,2022-10-03 16:47:37,aplikasi sangat membantu dan mudah digunakan
189,TheParamadika,5,2022-10-03 07:35:32,mudah dan sangat simple
190,Muhammad Ghazi,1,2022-10-03 00:34:52,kadang suka mati sendiri baru di tinggal sehari app nya offline padahal udah pake kuota terus locationnya juga tetep dinyalain tapi suka offline teruss app nya. tolong yaa di perbaiki
191,TKI Emirates,2,2022-10-02 21:28:21,"Selalu harus mereset lampunya klo mau konek. saya kira langsung setting dr awal sdh bs seterusnya. ini setiap mau konek dgn lampunya, harus reset koneksi dulu. merepotkan"
192,Lukman El Hakim,4,2022-10-02 21:01:50,Nice
193,Yurisman Phoey,5,2022-10-02 14:15:18,excellent app
194,Hertiana Putri,5,2022-10-02 10:58:50,super handy app!
195,Adhimitra Subrahma,5,2022-10-02 08:36:39,"Best Smart Home device, very easy to setup"
196,Pinky Pinky,5,2022-10-02 04:22:00,very good
197,Paul Taihitu,5,2022-10-02 01:17:37,jalan jalan ke pulo gebang. siap bang
198,dwi arko,3,2022-10-01 23:49:18,update nya gagal mulu
199,yohanes aja,5,2022-10-01 23:36:59,"Terbaik untuk aplikasi sejenis, cuman akkhir² ini agak sedikit lama loading kadang² gagal, mohon diperhatikan untuk diperbaiki"
200,Arif Wibowo (Awe),5,2022-10-01 23:09:04,"Sippp sekali, ada Support cs nya juga"
201,HTL HTL,5,2022-10-01 19:15:14,mantap
202,David Tjndr,5,2022-10-01 15:37:40,bug fix dong
203,Yoga Pradhika,1,2022-10-01 14:53:16,"The current update is not openable in POCO X3 Pro. Every time I tried to open, the only page I found was the TnC landing page that asked me to agree with it. Then it forced close."
204,Rini Fitriani,5,2022-10-01 14:48:15,bikin rumah jd smart home 💖
205,Christian Nainggolan,5,2022-10-01 11:07:46,good
206,ismail huda,5,2022-10-01 09:57:04,joz
207,Liliana Turisno,5,2022-10-01 09:34:13,thank you so much Bardi Smart Home
208,Reza AKG,5,2022-10-01 09:30:04,good
209,hari harie,5,2022-10-01 05:30:43,Useful app
210,Haidhar Aulia Rahman,5,2022-10-01 04:34:33,best home smart assistant so far
211,BF K,1,2022-10-01 04:21:12,"Dua cctv Ptz lambat, suka respon suka enggak, suka over respon walaupun internet stabil, pakai onvif via wifi dengan aplikasi onvier sama aja. Kayaknya emang firmwarenya ga bagus perlu ada update lagi"
212,Gentho 96,5,2022-10-01 04:12:52,bagus dan menbantu
213,hill all,5,2022-10-01 00:20:16,"mudah,"
214,Chondro Sutio Rubyarno,5,2022-09-30 19:32:28,memuasjan
215,Breezy Crasher,4,2022-09-30 16:14:17,masih suka crash
216,hilda laila,5,2022-09-30 15:09:36,gambar bagus
217,Yahya Wijaya,5,2022-09-30 13:19:28,penggunaan yang mudah
218,A Rifkhan,5,2022-09-30 11:42:21,mantap
219,Gunawan,4,2022-09-30 11:33:34,👍
220,Henry Kristianto,5,2022-09-30 10:33:34,"bisa dipakai device selain merk bardi, bagus"
221,Agung Maulana,5,2022-09-30 08:36:13,two thumbs up
222,fachir sofwan,1,2022-09-30 02:23:20,"Di beberapa hp, sdcard cctv dianggap tidak terpasang. Sedangkan di hp lain bisa terbaca. Padahal yg diakses cctv yg sama."
223,Febri Famungkas,5,2022-09-29 03:14:20,Kereenn
224,Mufti Patria,1,2022-09-26 15:50:48,"Sering lag bahkan tidak tersambung, jadinya saya turn on-turn off saklar lampu 3x. Ini mending lampu konvensional"
225,Teddy Wijaya,5,2022-09-25 19:41:35,good product
226,fer wibowo (fraight),1,2022-09-25 16:33:22,"App nya abis diupdate malah gabisa dibuka. Dibuka eror trs, udah di clear cache juga tetep."
227,Michael Ashley,1,2022-09-25 11:20:01,Aplikasinya sering nutup sendiri. Payah.
228,Fie AditiyaPra,2,2022-09-25 10:39:26,"New update Crash when i open the app, hope you guys fix it.."
229,Made Mahendra,3,2022-09-24 11:28:29,Setelah update kok malah lemot appnya.. Sebelumnya kalau buka app lebih responsif..
230,Achmad Riady,2,2022-09-24 10:04:47,"Saya pemakai dr tahun pertama bardi. Sekarang menurun, koneksi lbh lamban cctv sering gagal load, aplikasi lamban load ditambahin iklan2 jualan mending di tab shop aja khusus jgn asal di selipin di antarmuka"
231,Al Khalifah,4,2022-09-21 12:50:49,"Finally, nice work"
232,Fal Lena,1,2022-09-20 16:07:07,Aplikasi bug sering error
233,Julian Warsono,5,2022-09-20 10:54:03,"update terbaru bardi bagus, twrimakasih telah mendengar para konsumen..."
234,사다코모,1,2022-09-20 10:43:22,Useless app. It often crash and always show offline status for my lamp. How am I supposed to turn it on then
235,M. Wahyu Pangestu,5,2022-09-19 13:47:43,"Hi Bardi, setelah ada fitur dark Mode, kok malah ganti icon malah ga bisa?? Mohon dapat diperbaiki"
236,setyo utami,5,2022-09-19 11:02:49,Very good. Very Usefull👍👍👍👍
237,M. Aditya F.,5,2022-09-19 10:29:33,"untuk update selanjutnya, kamera yg dicuri masih bisa dipakai dan diakses oleh pemilik asli selama masih terdaftar di accountnya meski sudah direset dan dipakai oleh pencurinya"
238,Nicolaus B. A.,5,2022-09-19 10:29:14,Tingkatkan terus Bardi
239,M. Rizkiawan Latif,4,2022-09-19 09:25:12,agak loading
240,Mas Alfian Jaya,5,2022-09-19 09:18:07,mantap
241,Bayu Parindra,1,2022-09-19 06:45:53,Tidak bisa scan qr code untuk login di android tv
242,Nathan Raditya,1,2022-09-18 23:42:15,Lah kok malah ngasi iklan? Mana iklanny suru nntn di bioskop pula 🤣 such a sell out
243,Noviyan Hogy Andika Suryanto,3,2022-09-18 06:00:40,Not responding frequently Force close frequently Please fix it
244,MATEUS RIKARDUS SODANANGO,5,2022-09-17 12:07:59,Semua alat berfungsi dg sempurna. Terima kasih bardi logo watermark nya akhirnya hilang setelah update firmware.
245,Indra Wahyu,1,2022-09-17 06:42:59,"on my device ""Mi A1"" the app can't even be opened after the update."
246,Sandy Said,1,2022-09-16 07:46:40,Kecewa. Pahadal versi sebelumnya bisa connect ke Bardi smart bulb pakai bluetooth. Sekarang sudah gak bisa lagi hadehh
247,Ficky Suryana,1,2022-09-15 13:52:58,"Sejak update terakhir, aplikasi bardi sering tiba2 terbuka dan selalu restart/keluar masuk berkali2 tanpa berhenti padahal aplikasinya tidak dibuka secara sengaja. Sangat mengganggu sekali apalagi ketika saya sedang membuka aplikasi pekerjaan dan bardi ini muncul tiba2 dan restart2 berkali2 dan sulit sekali dihentikan. Petunjuknya agar clear cache, sudah saya lakukan tetapi tetap aplikasi bardi ini tetap tiba2 terbuka dan restart berkali2 tanpa henti dan sangat mengganggu sekali!!!"
248,David G,5,2022-09-14 23:49:53,"instalasi mudah, harga terjangkau dan banyak membantu memantau rumah dikala pergi"
