"","text"
"47","been using  bardi cctv for more than  months the ai is ok urevideo is good but one thing that really annoying everytime theres r outage or wifi lem those two devices will stay offline even after r is uain  wifi is back to normal to resolve it i need to reach the r charger un and  it again to r socket its not the lem with wifi i have of other cctv brand that works flawlessly everytime theres r outage  wifi lem"
"48","video download  hp disembunyikan lokasi imn nya trus fungsi nya aalau gak   akses  aasi "
"49"," bermanfaat"
"50"," link  google assistant lancar taeberaari  ntah ok google nyalakan lamamar  google nest  maaf   mengerti tantuk menyalakan ta run lancar     ntah nyala mati laman breaker    tanggaengan maaf   mengerti tolong  bantu"
"51","thank you bardi"
"52","mantap"
"53","bermanfaat  tis  mudah diaasikan"
"54","the lam good but the as always quitting unexedly"
"55","its a good aut crashed all the time its closed on its own and oon its own im tired of that honestly  fix this"
"56","good tools"
"57","the as getting more stable good work"
"58","acrashing need an ue emergency"
"59","klaim garansi mudah diu   admin fast resuk   worth it  harganya"
"60","ok"
"61","the best acation for home monitoring at anytime"
"62","keren"
"63","gud"
"64","so far no comn works very well"
"65"," versi bluetooth mudah error"
"66","so far so good"
"67","bardi tolong  ude teknologi berinovasi  cctv   ngomong     ketik  jd   rja beeguna banget  ngasih tau  dirumah   semngmg lgsg  jaringan yg terkendala utk ngmg lgsg  kamera"
"68"," memuaskan"
"69","great aor smart house"
"70","please add dark mode for this ahank you"
"71","pengosian mudah fitur  lengkan   kendala service centernya cetanggarta membantu   teratasi"
"72"," aasi nya   lemot"
"73","bagus  aasi nya"
"74","keren"
"75","lemot  tombol remote ac  lengkap"
"76","mulus"
"77","so far so good"
"78","nice app"
"79","ok"
"80","nice apps"
"81","masuk  halaman utama    stuck  boot menu   etujuan   klik setuju mautidak setuju   menu  lg"
"82"," add motion follow"
"83","very good acation "
"84","keren turang  sleede tbtb bgtu kn"
"85","schedule r onoff lamidak berfungsi  "
"86","very good"
"87","aasi  crash    daman listrik device   scan ulang habiskan    merean  lasana  tetaidak  solusi"
"88","the an its very slow to obardi deviceor relogin its annoying"
"89"," good"
"90","nice reliable"
"91","good motiondetector"
"92","video result include sound recording was good oted"
"93","good app"
"94","bardi smart home sahabat masyarakat"
"95","always offline even when im not turn off the lamd always want to reconnect"
"96","good"
"97","best afor manage iot from bardi"
"98","install  ngnya  mudah   ng  i    thanks bardi"
"99","oke"
"100","akasinya bagus ga ngelag"
"101","good"
"102","good"
"103","mantap"
"104","josss knya"
"105","great lov it"
"106","just nice "
"107","mantap"
"108","error much"
"109","good home system "
"110","alhamdulillah   puas  aasi bardi smart home  karna  fitur canggih yg dibutuhkan warga bergaya hidudern  dlm aasi  saran   produk bardi smart light bulb w  w rgbww wifi  dibikin ude version i wifibluetooth combo biar  fleksibel    memilih i koneksi asoalnya la bbrhun  udah  disematkan i mini pcie wlanbluetooth combo    asi bohlam bardi "
"111","brilliant bulb if only res to voice or clap"
"112","the ajust an absolute lag i used an indoor cctv the button in the awas so unresive and the video was so laggy would give a  if the awere better"
"113","very good"
"114","keren  bermanfaat"
"115","pakai cctv    buka dg jaringan wifi yg  loading nya cedan langsung  buka talau  buka  temlain dg jaringan mobile lelet nya  amerror melulu  gak  kebuka  jaringan mobile bagus"
"116","aasi crash  muncul keterangan your aas quit unexedly multitimes we recommend you clear the cache and restart the a taache udah clear    hadeh "
"117"," ue  aasi  bug aasi forcedstoluar  g   an"
"118","joss  "
"119"," back ah  timenya i ketik"
"120","bardi smart home offers many conveniences in human life"
"121","easy to used"
"122","     fitur watt monthly  weekly sei  tuya"
"123","bardi so smart"
"124","mantab"
"125","enough for me"
"126","great app"
"127","work good"
"128","bardi smart is good "
"129","great"
"130"," firmware ue  cctv  temberbeda  terdeteksi offline      cctv nyala  lamiru nyala tanedianda inet kuat n stabil   charger  dicabut  didisconnect berkali kali  kedeteksi online movement detection notif jg konstan muncul taiau check gagal ngeload     dicabut n disconnect tetedeteksi offline jelek bgt kualitas yg subsidi x to"
"131","aasi error  buka tutundiri"
"132","mantenget murah taanggih"
"133","kalo dark mode nya nyala aa crash mulu"
"134","good apps"
"135","sometimes failed to connect and bit laggy"
"136"," suka uk  bardi"
"137"," bug  os android   aasi   dibuka   kalinya  restart hru  terbuka  mohon atensinya   diaiki  cukunyak kai bardi   os android  terimakasih"
"138","user friendly"
"139","easy to use"
"140","countdown timer doesnt work anymore  edited they have fixed it"
"141",""
"142","   aa  not resing ga  dibuka  "
"143","bagusss  murah"
"144","bagus "
"145","overall ui nya cukudah   i  ip camera static bardi  lihat back talayback ga   fast forward  sulit  datimestamr detik yg  auga  crash setiali  keseringan geser timestamsalahnya  datimestama aja ga gam pas  back sd card  suka ga kebaca  ga    restart atolong   ue ya  memudahkan back ip camera nya ya terima kasih"
"146","server cctv  tdk meresdan gagal menaman streamings inet   khusus utk  cctv bardi mbalu skrg  bahan  konsumsi rekaman cctv jenis hd bardi athn  dng microsd gb mamerekam full  skrg udah thnan ssd yg  n normal    rekam hr lbh bbrm  notifikasi alarm erakan cctv  lambat munculnya"
"147","iya"
"148","modelnya oke"
"149","nice one"
"150","rancak bana"
"151","clear  simple"
"152","i bardi jd  mudah hd  aman"
"153","worthed "
"154","mantaurah taidak murahan rekomendasi "
"155"," lemot  bug  android kl  ie lancar"
"156","bagus"
"157","usefull"
"158","beberaevice   dimatikan  google home"
"159","lagging and error after ue just to othe aill downgrade my aersion"
"160","ok"
"161","good"
"162","first time gunain smart device   gue seneng exence nya memuaskan thank you bardi"
"163","ok bosque"
"164","aeerashing  out of  times so frustrating cant even dim my lights or do anything because of it"
"165"," instal bardi adi  hp utk smart door lock tauanya tdk  data  yg akurat utk record unlock smart door key yg mestinya saturday tertulis wednesday  hp  sunday  hp   hp tdk  re time stamk data yg  dihari sblmnya aneh"
"166","the bestt ga nyesel beli "
"167","terbaik ga nyesel"
"168","thanks for the fast rese technician  star for now it take me an hour wondering what can i do"
"169","very good"
"170","nice"
"171","aasinya    dibukagunakan  ue trus  gimana"
"172","imsive app"
"173","mantul"
"174"," memudahkan hidu masukan seinya   bug  u diberesin  beberaali gagal buka a overall  memuaskan "
"175","lancar   "
"176","mantab aasinya bs record hasil rekaman kemaren  tersimdatanya  galeri hp"
"177","work verywell"
"178","recommended"
"179","very hel and easy ating"
"180","easy to use and a lot of function menu that you can setting ud customize as well but i dont know about the data security for cctv"
"181","good"
"182","app  force close memori   format  memori samsung endurance yg kusus cctv ganti sandisk endurance jga gitu  bilang memori kw  app   gimana gabisa  bukak restart  isntall ulang obat nya   forum  nya  ganti  vgen blablabla"
"183","  buggy tada lumayan oke"
"184","really hel acation nice to try"
"185","   u embangan   error"
"186","bagus   gambar nya"
"187"," bermanfaat"
"188"," membantu"
"189","aasi  membantu  mudah "
"190","mudah   simple"
"191","kadang suka mati    tinggal sehari aya offline  udah  kuota  locationnya  tetenyalain tauka offline teruss aya tolong yaa  aiki"
"192","  mereset  klo  konek   langsung setting dr  sdh bs   setiau konek dgn   reset koneksi  merean"
"193","nice"
"194","excellent app"
"195","suhandy app"
"196","best smart home device very easy to setup"
"197","very good"
"198","jalan jalan   gebang siang"
"199","ue nya gagal mulu"
"200","terbaik  aasi sejenis cuman akkhir     loading kadang gagal mohon diatikan  diaiki"
"201","sisekali  sut cs nya "
"202","mantap"
"203","bug fix "
"204","the current ue is not oble in poco x pro every time i tried to othe only  i found was the tnc landing  that asked me to agree with it then it forced close"
"205","bikin rumah jd smart home "
"206","good"
"207","joz"
"208","thank you so much bardi smart home"
"209","good"
"210","useful app"
"211","best home smart assistant so far"
"212"," cctv ptz lambat suka ressuka  suka over reswalauinternet stabil i onvif via wifi  aasi onvier  aja kayaknya emang firmwarenya ga bagus u  ue "
"213","bagus  menbantu"
"214","mudah"
"215","memuasjan"
"216"," suka crash"
"217","gambar bagus"
"218","gunaan  mudah"
"219","mantap"
"220",""
"221"," dii device  merk bardi bagus"
"222","two thumbs up"
"223"," beberacard cctv dianggadak terng   hin  terbaca  yg diakses cctv yg "
"224","kereenn"
"225"," lag   tersambung   turn onturn off saklar lamx  mending lamonvensional"
"226","good uct"
"227","aya abis diue  gabisa dibuka dibuka eror trs udah  clear cache  tetep"
"228","aasinya  nutundiri payah"
"229","new ue crash when i othe aoou guys fix it"
"230"," ue   lemot aa   buka aebih resif"
"231"," kai dr  ama bardi  menurun koneksi lbh lamban cctv  gagal load aasi lamban load ditambahin iklan jualan mending  tab shoa khusus jgn   selidi antarmuka"
"232","finally nice work"
"233","aasi bug  error"
"234","ue terbaru bardi bagus twrimakasih  mendengar  konsumen"
"235","useless ait often crash and always show offline status for my lamow am i sued to turn it on then"
"236","hi bardi   fitur dark mode   ganti icon  ga  mohon dadiaiki"
"237","very good very usefull"
"238"," ue  kamera yg dicuri   dii  diakses  lik asli   terdaftar  accountnya   direset  dii  urinya"
"239","tingkatkan  bardi"
"240"," loading"
"241","mantap"
"242","  scan qr code  login  android tv"
"243","   ngasi iklan  iklanny suru nntn  bioskola  such a sell out"
"244","not resing frequently force close frequently please fix it"
"245"," alat berfungsi dg sema terima kasih bardi logo watermark nya  hilang  ue firmware"
"246","on my device mi a the aant even be od after the ue"
"247","kecewa pahadal versi   connect  bardi smart bulb i bluetooth   gak   hadehh"
"248"," ue  aasi bardi   terbuka   restartkeluar masuk berkali tanerhenti  aasinya  dibuka  sengaja  mengganggu  agi    membuka aasi rjaan  bardi  muncul   restart berkali  sulit  dihentikan petunjuknya  clear cache   lakukan tetaetalikasi bardi  tetaba terbuka  restart berkali tanenti   mengganggu "
"249","instalasi mudah harga terjangkau   membantu memantau rumah dikala i"
"250","mantaaabs nih barang"
"251","akasi nya  eror mulu"
"252","hi tim bardi smart home  tlg  kendala dibuka aardi  hp   instruksi utk clear cache trus kelaliu  sy klik clear cache ga bhasil tuchhiikzz solusinya bgmn ya "
"253","good exence after last ue  stars"
"254","tolong tambahkan owarna  schedule  butuh jam  malam warna lamerubah  kuning redup"
"255","bad ueafter this new ue the connectivity is bad slow crashes and sometimes wont start before this ue i had no lems on my galaxy as when it used to take  sec to connect now takes  sec before a ure shows ud then it still choon sd setting fix this ue "
"256","always shown u erase data while oaafter click clear immediately aforce closed thats bugs so annoying caused cant even chage the light mode"
"257"," ue versi aasi    force storus clear cache lambat  selancar  ue versi mohon  diaiki  vital fungsi aasi nya thanks"
"258","be smart"
"259"," ue versi     android  error force close  xiaomi  samsung mohon diaiki"
"260","hamselalu crash  dibuka"
"261","after the ue the bluetooth lam unable to connect and no i wont contact your cs number"
"262","seber  ue causes the ao crash and uack screen xa xz android "
"263","   yg bermasalah  memory cctv   recordbacksave datareformat    error kadang    normal   un kabel  kabel  diatas   merean   berulang  berguna   aasi  feature reboot device btw sd card yg   class   beli  official store"
"264"," ue ram  crash   hacache ue      efisien mohon dadiaiki  uenya"
"265"," aasinya  bug  dadibuka"
"266","aasinya  berat  hidutikan lamja  nunggu  menitan scheduler  gagal       susah aja ga  aikan"
"267","thank you for fixing the app"
"268","  suka error aasi"
"269","after the last ue the aeerashing and force closes"
"270","  menu automation  list sort  ascending  membantu  device  tasknya "
"271"," crash aa ga   buka  cloudnya  kdg ga  rekam   csnya resya ct  elesaian   berlangganan cloud   sudh bayar tmbayaran  ga masuk  aa  statusnya ter cancel tera  bayar  x  berlangganan  laseminggu  jawabannya menunggu   smkrg ga  kabar"
"272","lemot banget njir bikin frustasi"
"273","good"
"274","smart    berfungsi   dicontroldimatikan aasi  ue firmware tuck dichecking firmware gak  berfungsi langsung  rongsokan kabeli uk bardi "
"275","soooooo slow to load it takes even longer to turn onoff lights smart device with not so smart app"
"276","not a very smart device"
"277","i use  outdoor cctv and they have similar lem after i ue firmware for the first time the camera need to be ed again think of the e i i need high stair n i cant be reached easily so inconvenient to  again few month later the software need to be uded and after i ude the sd card didnt detect it says i need to un n  again the sd card dude its outdoor cctv how can one need to reach for each ues your comtor did not like that"
"278","mantap"
"279","always showing isnt resing all the time"
"280","ga  setting jadwal  on  off lamardy  gagal ga  elasan  setting jadwal "
"281","setiadate security android aasi bardi  lemot  dibuka   close  clear cache  tetamot aasi  connect  google home siri smart things memudah hidunget   rumah  musim emi   tangan h  u suara   overall    aasi nya walausaya setuju   orma  akurasi nya sei automasi  i     titik gps   berfungsi ditingkatkan  ya min"
"282","i use a lot of bardi devices the more i add new device the slower the aesscan you fix the ao be more resive"
"283","so far so good"
"284","bagusssss"
"285","aantab"
"286","ukuran aasi  boros  berat  sekelas aasi  fungsinya  remote    ringankan    berat aasinya"
"287"," smart  setting ta run nya tolong diaiki tamnnya ya  intimer countdown   satuan detik"
"288"," mendukung fitur s screen tolong didukung fitur  terima kasih"
"289","good"
"290","cool"
"291","very often glitching a bit frustrating when that has but overall good"
"292","easy use"
"293","aasi yg  membantu  mengelola ngkat smart home  bardi"
"294","nice"
"295","good app"
"296","kerenn"
"297","mantaaab"
"298","keren bingitsss"
"299","every time i oat take too long to connect with device the scheduler is not working"
"300","okeeey banget"
"301","rescs cepat"
"302","aasi rusak kamera gk  format kartu memori  bermasalah   format   kartu memori asli skrng  gk jalan  kameranya  butut  aasinya  gk jalan  "
"303","nice gadget"
"304","very usefull aation"
"305","lamama colokan listrik suka mati sendiriters  wifi"
"306","widget  resif  diet berkalikali  jalan skenarionya"
"307"," membantu    otomatis"
"308","i cant access the memory card inside cctv since a few months ago i tried using my other e which is iphone and it works fine i think this may be a bug please fix this because its really annoying thank you"
"309","cant even connect to the light bulb"
"310","konsumen jg  edukasi gunaan aasinya "
"311","  smart    bug  u reconnect router delay cukuma"
"312","seharian   ngkat  terhubung    normal"
"313","manta"
"314","mudah digunakanhanya   proma dikasih tau  scan barcode  lamardi berwarna a merahsaat biru"
"315","this aade my life worse always disconnected when i wanted to do a simthing turning on and off a smart bulb"
"316","when you record there is a uct brand watermark on the video it is very distracting and annoying  fix it immediately and remove it"
"317","good"
"318","very usefull"
"319","manta kali"
"320","cacad  errornya klo listrik mati  setting    ditinggal sebulan ga nyala  setting   ga  nyambung    leng   uninstall aya"
"321","hazicha i miss u"
"322",""
"323","koclok"
"324","hebat beneran smart semoga ngkat     dimiliki"
"325","dg harga under rb kwalitas gambar jernih  diakses  jarak  keren nih rekomended"
"326","anak bangsa  sosoan bikin aah lemot gaguna"
"327","very iseful  comfortable  like it recom uct f"
"328","done"
"329","tolong dongmakin  user  kekuatan server aasinya  tingkatin   kontrol jarak jauhnya   delay walausinyal internet bagus "
"330","server  not resing   terlanjut   device  server nya not resing  ya useless security gak  automation gak "
"331","nice "
"332","always offline device even though the wifi is no lem"
"333","aasi nya lemotsetiaya   aasi  hitungan  menit  masuk ulang   susah   berulang ulang  dakontrol  lamya"
"334","rewel  susah koneksi  lamwatt nya gam s  ngresett"
"335","ect good exation"
"336","easy use and simply"
"337","good acation made in indonesia "
"338","aasinya sim mudah  user friendly"
"339","excellent"
"340","easy to install and ure quality is good"
"341"," memuaskan mudah  gam utk oian nya"
"342","ude wifi  g  ga   cctvnya   sut  g kocak"
"343","iot amultiaccess"
"344","edit terima kasih utk resnya maaf  u kasih bintang    mendaan atian  tolong betulkan sistem nya bardi lock nya   kirim online password offline password  time limited password mauone time password     pin adi   wai berkali           launch aoba tolong uji coba berkali terima kasih vge"
"345","it is better if we move the socket to another e with different wifi  it can also be used"
"346","good ormance"
"347","manta"
"348","mantap"
"349","kamera cctv yg membantu mengecek rumah  ditinggalkan"
"350","mantanget k nya bagus"
"351","smart plug   diue   offline   online ue failed   ue  firmware "
"352","membantu bgt  enteng aasinya dibanding mihome"
"353","good app"
"354","aasi membantu integrasi alat smart home lamuga oke mudah diatur  ui mudah dimi sayangnya  haaya   kejadian aot resing   isu  aasi   versi android  i android   setting lamasih  lancar taerkadang aot resing muncul "
"355","helly"
"356","hasilnya memuaskan  gambar suara  hasil rekaman nya"
"357"," membantu"
"358","mantab  futuristic bingitz"
"359","mantah bardi tinggal  donlot mya tanabut sdcard n via lan  ect"
"360","bagus"
"361","ue  ng   jd lemot  lamuka restart kedisendiri  terusan"
"362","ue      control warna lamtolong  ue software    user friendly  "
"363","kereeen"
"364",""
"365","ok cool smart device"
"366","easy install and very hel"
"367","it works fine for few years but then it wont res to the lights it no longer controlls my led lights for some reason the aas great features but  fix this issue"
"368","bardi is very easy to install and ote like it very much"
"369","simbut make house like smart home"
"370","aasi  error meskisudah  close tetaja error notifnya muncul memory card  cctv iring    format  memory cardnya  sesuai  required system  bardi     record  so bad"
"371","storage cannot br recognize in my bardi cctv in the ai dont know whether the ar my cctv cam please solve the issue"
"372","very useful ael to see the condition without my ent"
"373","mangstabbbb"
"374","useful"
"375","work erly after installation thanks bardi"
"376","jeellleekkkkkk delayyy"
"377","mantaap"
"378","jarak  kontrol latan listrik"
"379","overall best"
"380","sueasy to use"
"381","kualitas blm hd"
"382","niceee"
"383","diawal kaian  bagus samsuatu    memasant sd card  recording anehnya setiaya back  hcoe f   format t hin samsung a ngga  lancar  backnya"
"384","good aation"
"385","make the aike philio trouble"
"386","mudah  fungsi cukunyak memenuhi kebutuhan"
"387"," berkualitas uk "
"388","jelek crash mulu caener reset setting mulu   kali sehari merek sebelah si bosman   instal ulang udah sejam loading doang"
"389","mudah  osikan"
"390","great technology"
"391","bagus  cukumuaskan"
"392","usefull and easy to connect"
"393","tx"
"394","easy and hel to auto switch my device"
"395","bagus"
"396","hardware yg   kaian ga  error kalo  error  hub cs  langsung  res"
"397","mudah dii taadang  susah kedeteksi  taungkin   jaringan wifi  jelek sih"
"398","combility issue on oreno"
"399","goodthank u"
"400","ok"
"401","keren"
"402","top"
"403","good  bagus  berjalan lancar"
"404","one of the best ato automate ur lighting striut the aconnection time to detect the striake to long to res ive waited about a minute but the on off button still disable to click and it always told me unable to connect when my devices is always red to the socket"
"405","very usefull and good aation"
"406","easy to use"
"407","enjooy"
"408","my auddenly isnt working on any of my wifi connections it was working ectly fine yesterday what is going on i even reinstalled the aust to be sure but i cant even log in it will not load edit customer service through whats auickly served me and their it dement swiftly solved my issues "
"409","ayo server offline  diaiki"
"410","bagus "
"411","quite good amain issue was they did not have on to change internet source so you must reset if you want to change your wifi word or change internet source"
"412","  memuaskan"
"413","beli uk gagal nih ga  nyambung  hotsnya kertas njuk mengaturnya   ga  beda banget  yg  aasi untung  beli motion censor yg harga nya gak mahal rugi banget kalo beli uk bardi yg mahal"
"414","aarena waran sistem imn berbayar  cctv  tdk bs detect memory card nya iya duanya  indoor   outdoor mgkn      berasumsi memory cardnya  bermasalah sdh coba  cabut ng   format  bermasalah jd uma cctv klo ga bs liat rekaman cctvnya"
"415","gam settingnya tinggal colok aja  listrik jgn lu beli memory card yah "
"416"," i auntuk universal remote ir   kecewa  asangat  resif   tekan berulang  deres"
"417","the as very slow  couldnt be osoon when the aoff"
"418","very good"
"419"," coba ihasilnya memuaskan yg teeing dr bardi  layanan aftersalesnya mudahn jg memuaskan"
"420","awesome"
"421"," ude versi terbaruada bugaasi ditutuetasih aktif berjalan  aasinyasehingga mennyebabkan data boros  cehabis"
"422","good apps"
"423","mantap"
"424"," fitur lengkaanya  lambat"
"425","smart  suka auto off klo i wifi yg   hntung  wifi tambahan  beda wifi ga  mati smart nya cuman  kadang suka kambuh garansi ga datukar  cuman  cek  klo  cek ga   hardware bikin cadonk "
"426","best"
"427"," star is not even enough to describe my disantment its not as easy as it says it keeailing to connect you got too many things to fix not to mention that blinking lights when you restart and it fails so you restart it multitimes and it makes you dizzy"
"428","keren  aasi smart home anak bangsa"
"429","fast link"
"430","every i othis always force me with the notification that his said need to clear the data because the aailure to start many time is this aunning remothly without knowing by me and i have to reinmy user id and word after i clear it and the worst thing is the lem still ha"
"431","however still ty room for imement"
"432","oke sii  sulit"
"433","amazing  user friendly"
"434","kalo  ngomong  et tombol jd klo dr ruangan ngomong bersamaan ga  kedengeran"
"435","the aeeow formating today everytime i othe ait said formatting  if i  x it back to main  after the sdcard error thing that i found the mistake not the sdcard but something with bardi firmware and theres no other lem then this ha i dont know if after the ue it make it better or worse after turn off the ipc for hours the formatting notif disar"
"436","simmart"
"437","helly"
"438","good and nice"
"439","great"
"440","good app"
"441","cukumudahkan"
"442","goodjob bardi"
"443",""
"444","good"
"445","iot  very useful"
"446","amazing app"
"447","good uct and aation for realtime cctv easy to install helk give solution for fix lem but  for next ue can sort all devices based on item category"
"448","nice control cctv"
"449","good"
"450","nice"
"451","niceeeee"
"452","i need the customer sut helut the number that written on the as uncotactable"
"453","user friendly"
"454","bagus bening  full hd"
"455","please add inching on and i will buy more bardi smart "
"456","the as okay but  make a dark theme too because the white background is too bright when i turn off my lamth this app"
"457","sometimes take a long time just for load the lamvice at home menu "
"458","kenauka gak  diklik ya menu    klik common function doang tolong aiki bugnya"
"459","nice bangeett"
"460","aasinya bagus  menarik"
"461","bagus banget kamera  rubah si"
"462","mantaedbd"
"463","so far so good"
"464","  membeli versi cloud  ip kamera bardi tetaembayaran  tersedia  versi kartu kredit al  midtrans   ler  ayaran ewallet sei  beredar diran indonesia   memudahkan   berjualan fitur berbayar  indonesia    saran  angkat kaki   r memudahkan  meribetkan     terjebak diyaran paypal"
"465","simbut incredible"
"466","so good"
"467","nice acation"
"468","cuman gak bs matiin bunyi alarmnya aja"
"469","good smart homme"
"470","mantabs aasinya  kekurangan kadang suka off  resolusinya   mantab sih  oilihan thd tools    tools  bs  mggu bardi  menangkahari  but thank you"
"471","bagus"
"472","very bad"
"473","good and good"
"474"," ngosiinnya mudah  nyaman  "
"475","nice and clear view"
"476","very easy to use n com"
"477","good aor smart home but its very slow if you many add device thanks"
"478","good"
"479","mantaps"
"480","good"
"481"," cerenya   ue"
"482","this ats buggy in my e redmi note  always forced out pls dev fix this"
"483"," ardi smart home failed at several to start several time restore it by clearing its history"
"484","cant install app"
"485","mantab bgt gam ingny"
"486","mantarus  ime ya"
"487","good"
"488","love love the uct but the atself is really buggy it takes forever to load i thought it was just my e but ive tried on multiesdevices along with ios"
"489","can do more with voice command"
"490","aun very slow  jme it"
"491","good a"
"492","sometimes offline need ing again"
"493","ok"
"494","aturan lamering   dibuka"
"495","cool apps"
"496"," tulung rgb sync  musiknya ditingkatkan ditambah modenya asli   asik euy  meriah "
"497","easy to use and tical"
"498"," kenakrg tiaka  muncul ulang butuh clear history udh  klik   muncul    log out"
"499","smart"
"500","puas bgt kamar  hitech i uk bardi konfigurasi mudah bgt  mudah diosikan skarang keut bgt sm smart doorlocknya"
"501"," dgn   ac daikin  otomatisasinya      adwalan berdasar "
"502","penyakit storage   format  muncul stelah kaian kurleb  blnn error formatting  slalu muncul  screen al sdh diformat  h cs ybs  sy menformat ulang sd card  komrkrn letaknya  mlm   tdk berhasil mencabut sd cardnya tehnya otomatis jd   blum dianmgkn kena goyang ya  storagenya free lg    skrg storagenya sisa gig kambuh lg itnyaminta diformat lgerror yg samaini lgs beli t dgn sdcard  bardi"
"503","semoga  berkembang    ue ue adan firmware  memaiki bug bug  so far is so good"
"504","good ormbut some times lagging for bt device connection"
"505","easily set ud daily access"
"506","great"
"507","aasi sumantaaabbbs"
"508","nice for home"
"509","butuh aasi  monitoring via desktoc la"
"510","jozzzzz"
"511","great"
"512","mohon bantuannya bardi smart ip camera hd cctv wifi iot homeautomation    rekaman  aaat microsd dicek manual  "
"513","good"
"514","sayang  utk uk oke tautnya krg  alangkah     setting timer    tinggal ketik angka   gak  i scroll  setting re schedule    centang menu everydayweek  sekian kali  temertentu tdk hny manual h   ue udah   aasinya gitu aja blm diue utk jdi  "
"515","nice"
"516","bagus"
"517"," aasi  oke  membantu  mudah "
"518","aasi bardi suka offline   koneksi wifi bagus   sei   ngeren  remove  reconnect ngkat"
"519","fitur mantan mudah"
"520","works with google assistant really cool but the a rese is very slow even m away from the router and  add dark theme d"
"521","mantalutionsnya"
"522","mudah  kontrol  bermanfaat  ga u bangun  matiin lamatau bs hidulamaat lg   rmh tdang eror kediendiri lamalo  switch on  sakelar kalo mattinri hp"
"523","keren bgt serasa  ironman"
"524","good"
"525","  ue beberaari  softwarenya   urus memilih clear data history  cancel   uninstall    kenaa "
"526","nice"
"527","good aation"
"528","mantanan"
"529","overall is good "
"530","aasi  bagus  harga  tergolong  terjangkau  berguna  mengatur mati hidumeras   orang atausaat rumah kosong sut  jam via wa     membantu  luoneksi internet wifi  beraruh sy memakai biznet home  wifi  rumah bardi to"
"531","make life easier"
"532","memudahkan hidukaliii"
"533","baguslaa"
"534","semoga   "
"535"," asik bgt loh kalo  bs nyesuaiin cahaya sm mood d kamar "
"536","niceeee"
"537","terkadang eror"
"538","koneksi bermasalah"
"539","aasinya bagus fast resga lemot bardi top "
"540","nice aand hardware"
"541","keren dah"
"542","gud"
"543","satisfiednodoubt"
"544","very nice athank you"
"545","great"
"546","iot timee"
"547","after recent ue my light bulb is not very resive idk why sometimes when i turn on the light the button is on but not my bulb i try reing and still has the same behaviour"
"548","grat"
"549","nice"
"550","i cant osettings in outdoor cctv i cant reset memory and today i have accident to record but since i cant emsince those accident not recorded your outdoor cctv is rugged evertime i tried to make a change it close or freeze and not resing"
"551","smart kaleee"
"552","wow indonesian brand for modern home solution"
"553","instalasi  tis  mudah"
"554","nice bardi kee up"
"555","software has no lem but quality of uct is worst cctv often facing error unable to detect memory card"
"556","ekosistemnya bagus bikin suasana rumah  hiduya  gam dii "
"557","good"
"558","user friendly"
"559","very good"
"560","no leg"
"561","good"
"562","easy to use"
"563","the smartest acation who make any device automate good job"
"564","manteb  electrical rumah  smart"
"565","esay to use minimal hassle good job "
"566","lumayan walauada delay sekian detik  live"
"567","best aand lamp"
"568","fungsional"
"569"," mudah  aasi   bagus"
