"","klasifikasi","score","text"
"200","Netral",0,"terbaik  aasi sejenis cuman akkhir     loading kadang gagal mohon diatikan  diaiki"
"201","Netral",0,"sisekali  sut cs nya "
"202","Netral",0,"mantap"
"203","Negatif",-1,"bug fix "
"204","Positif",1,"the current ue is not oble in poco x pro every time i tried to othe only  i found was the tnc landing  that asked me to agree with it then it forced close"
"205","Netral",0,"bikin rumah jd smart home "
"206","Netral",0,"good"
"207","Netral",0,"joz"
"208","Netral",0,"thank you so much bardi smart home"
"209","Netral",0,"good"
"210","Netral",0,"useful app"
"211","Netral",0,"best home smart assistant so far"
"212","Netral",0," cctv ptz lambat suka ressuka  suka over reswalauinternet stabil i onvif via wifi  aasi onvier  aja kayaknya emang firmwarenya ga bagus u  ue "
"213","Positif",1,"bagus  menbantu"
"214","Netral",0,"mudah"
"215","Netral",0,"memuasjan"
"216","Netral",0," suka crash"
"217","Positif",1,"gambar bagus"
"218","Netral",0,"gunaan  mudah"
"219","Netral",0,"mantap"
"220","Netral",0,""
"221","Positif",1," dii device  merk bardi bagus"
"222","Netral",0,"two thumbs up"
"223","Positif",1," beberacard cctv dianggadak terng   hin  terbaca  yg diakses cctv yg "
"224","Netral",0,"kereenn"
"225","Netral",0," lag   tersambung   turn onturn off saklar lamx  mending lamonvensional"
"226","Netral",0,"good uct"
"227","Netral",0,"aya abis diue  gabisa dibuka dibuka eror trs udah  clear cache  tetep"
"228","Netral",0,"aasinya  nutundiri payah"
"229","Netral",0,"new ue crash when i othe aoou guys fix it"
"230","Negatif",-1," ue   lemot aa   buka aebih resif"
"231","Negatif",-5," kai dr  ama bardi  menurun koneksi lbh lamban cctv  gagal load aasi lamban load ditambahin iklan jualan mending  tab shoa khusus jgn   selidi antarmuka"
"232","Netral",0,"finally nice work"
"233","Negatif",-1,"aasi bug  error"
"234","Positif",2,"ue terbaru bardi bagus twrimakasih  mendengar  konsumen"
"235","Netral",0,"useless ait often crash and always show offline status for my lamow am i sued to turn it on then"
"236","Netral",0,"hi bardi   fitur dark mode   ganti icon  ga  mohon dadiaiki"
"237","Netral",0,"very good very usefull"
"238","Positif",1," ue  kamera yg dicuri   dii  diakses  lik asli   terdaftar  accountnya   direset  dii  urinya"
"239","Netral",0,"tingkatkan  bardi"
"240","Netral",0," loading"
"241","Netral",0,"mantap"
"242","Netral",0,"  scan qr code  login  android tv"
"243","Netral",0,"   ngasi iklan  iklanny suru nntn  bioskola  such a sell out"
"244","Netral",0,"not resing frequently force close frequently please fix it"
"245","Positif",1," alat berfungsi dg sema terima kasih bardi logo watermark nya  hilang  ue firmware"
"246","Netral",0,"on my device mi a the aant even be od after the ue"
"247","Negatif",-1,"kecewa pahadal versi   connect  bardi smart bulb i bluetooth   gak   hadehh"
"248","Positif",1," ue  aasi bardi   terbuka   restartkeluar masuk berkali tanerhenti  aasinya  dibuka  sengaja  mengganggu  agi    membuka aasi rjaan  bardi  muncul   restart berkali  sulit  dihentikan petunjuknya  clear cache   lakukan tetaetalikasi bardi  tetaba terbuka  restart berkali tanenti   mengganggu "
"249","Negatif",-1,"instalasi mudah harga terjangkau   membantu memantau rumah dikala i"
"250","Netral",0,"mantaaabs nih barang"
"251","Netral",0,"akasi nya  eror mulu"
"252","Negatif",-3,"hi tim bardi smart home  tlg  kendala dibuka aardi  hp   instruksi utk clear cache trus kelaliu  sy klik clear cache ga bhasil tuchhiikzz solusinya bgmn ya "
"253","Netral",0,"good exence after last ue  stars"
"254","Negatif",-1,"tolong tambahkan owarna  schedule  butuh jam  malam warna lamerubah  kuning redup"
"255","Netral",0,"bad ueafter this new ue the connectivity is bad slow crashes and sometimes wont start before this ue i had no lems on my galaxy as when it used to take  sec to connect now takes  sec before a ure shows ud then it still choon sd setting fix this ue "
"256","Positif",1,"always shown u erase data while oaafter click clear immediately aforce closed thats bugs so annoying caused cant even chage the light mode"
"257","Negatif",-1," ue versi aasi    force storus clear cache lambat  selancar  ue versi mohon  diaiki  vital fungsi aasi nya thanks"
"258","Netral",0,"be smart"
"259","Netral",0," ue versi     android  error force close  xiaomi  samsung mohon diaiki"
"260","Netral",0,"hamselalu crash  dibuka"
"261","Netral",0,"after the ue the bluetooth lam unable to connect and no i wont contact your cs number"
"262","Netral",0,"seber  ue causes the ao crash and uack screen xa xz android "
"263","Negatif",-1,"   yg bermasalah  memory cctv   recordbacksave datareformat    error kadang    normal   un kabel  kabel  diatas   merean   berulang  berguna   aasi  feature reboot device btw sd card yg   class   beli  official store"
"264","Positif",1," ue ram  crash   hacache ue      efisien mohon dadiaiki  uenya"
"265","Negatif",-1," aasinya  bug  dadibuka"
"266","Negatif",-4,"aasinya  berat  hidutikan lamja  nunggu  menitan scheduler  gagal       susah aja ga  aikan"
"267","Netral",0,"thank you for fixing the app"
"268","Netral",0,"  suka error aasi"
"269","Netral",0,"after the last ue the aeerashing and force closes"
"270","Netral",0,"  menu automation  list sort  ascending  membantu  device  tasknya "
"271","Negatif",-5," crash aa ga   buka  cloudnya  kdg ga  rekam   csnya resya ct  elesaian   berlangganan cloud   sudh bayar tmbayaran  ga masuk  aa  statusnya ter cancel tera  bayar  x  berlangganan  laseminggu  jawabannya menunggu   smkrg ga  kabar"
"272","Netral",0,"lemot banget njir bikin frustasi"
"273","Netral",0,"good"
"274","Negatif",-1,"smart    berfungsi   dicontroldimatikan aasi  ue firmware tuck dichecking firmware gak  berfungsi langsung  rongsokan kabeli uk bardi "
"275","Netral",0,"soooooo slow to load it takes even longer to turn onoff lights smart device with not so smart app"
"276","Netral",0,"not a very smart device"
"277","Netral",0,"i use  outdoor cctv and they have similar lem after i ue firmware for the first time the camera need to be ed again think of the e i i need high stair n i cant be reached easily so inconvenient to  again few month later the software need to be uded and after i ude the sd card didnt detect it says i need to un n  again the sd card dude its outdoor cctv how can one need to reach for each ues your comtor did not like that"
"278","Netral",0,"mantap"
"279","Netral",0,"always showing isnt resing all the time"
"280","Negatif",-3,"ga  setting jadwal  on  off lamardy  gagal ga  elasan  setting jadwal "
"281","Negatif",-2,"setiadate security android aasi bardi  lemot  dibuka   close  clear cache  tetamot aasi  connect  google home siri smart things memudah hidunget   rumah  musim emi   tangan h  u suara   overall    aasi nya walausaya setuju   orma  akurasi nya sei automasi  i     titik gps   berfungsi ditingkatkan  ya min"
"282","Netral",0,"i use a lot of bardi devices the more i add new device the slower the aesscan you fix the ao be more resive"
"283","Netral",0,"so far so good"
"284","Netral",0,"bagusssss"
"285","Netral",0,"aantab"
"286","Negatif",-2,"ukuran aasi  boros  berat  sekelas aasi  fungsinya  remote    ringankan    berat aasinya"
"287","Negatif",-1," smart  setting ta run nya tolong diaiki tamnnya ya  intimer countdown   satuan detik"
"288","Positif",6," mendukung fitur s screen tolong didukung fitur  terima kasih"
"289","Netral",0,"good"
"290","Netral",0,"cool"
"291","Netral",0,"very often glitching a bit frustrating when that has but overall good"
"292","Netral",0,"easy use"
"293","Netral",0,"aasi yg  membantu  mengelola ngkat smart home  bardi"
"294","Netral",0,"nice"
"295","Netral",0,"good app"
"296","Netral",0,"kerenn"
"297","Netral",0,"mantaaab"
"298","Positif",1,"keren bingitsss"
"299","Netral",0,"every time i oat take too long to connect with device the scheduler is not working"
"300","Positif",1,"okeeey banget"
"301","Positif",1,"rescs cepat"
"302","Negatif",-3,"aasi rusak kamera gk  format kartu memori  bermasalah   format   kartu memori asli skrng  gk jalan  kameranya  butut  aasinya  gk jalan  "
"303","Netral",0,"nice gadget"
"304","Netral",0,"very usefull aation"
"305","Negatif",-1,"lamama colokan listrik suka mati sendiriters  wifi"
"306","Negatif",-1,"widget  resif  diet berkalikali  jalan skenarionya"
"307","Netral",0," membantu    otomatis"
"308","Negatif",-1,"i cant access the memory card inside cctv since a few months ago i tried using my other e which is iphone and it works fine i think this may be a bug please fix this because its really annoying thank you"
"309","Netral",0,"cant even connect to the light bulb"
"310","Netral",0,"konsumen jg  edukasi gunaan aasinya "
"311","Negatif",-1,"  smart    bug  u reconnect router delay cukuma"
"312","Netral",0,"seharian   ngkat  terhubung    normal"
"313","Netral",0,"manta"
"314","Positif",1,"mudah digunakanhanya   proma dikasih tau  scan barcode  lamardi berwarna a merahsaat biru"
"315","Netral",0,"this aade my life worse always disconnected when i wanted to do a simthing turning on and off a smart bulb"
"316","Netral",0,"when you record there is a uct brand watermark on the video it is very distracting and annoying  fix it immediately and remove it"
"317","Netral",0,"good"
"318","Netral",0,"very usefull"
"319","Netral",0,"manta kali"
"320","Negatif",-3,"cacad  errornya klo listrik mati  setting    ditinggal sebulan ga nyala  setting   ga  nyambung    leng   uninstall aya"
"321","Netral",0,"hazicha i miss u"
"322","Netral",0,""
"323","Netral",0,"koclok"
"324","Positif",1,"hebat beneran smart semoga ngkat     dimiliki"
"325","Positif",2,"dg harga under rb kwalitas gambar jernih  diakses  jarak  keren nih rekomended"
"326","Netral",0,"anak bangsa  sosoan bikin aah lemot gaguna"
"327","Netral",0,"very iseful  comfortable  like it recom uct f"
"328","Netral",0,"done"
"329","Positif",1,"tolong dongmakin  user  kekuatan server aasinya  tingkatin   kontrol jarak jauhnya   delay walausinyal internet bagus "
"330","Negatif",-1,"server  not resing   terlanjut   device  server nya not resing  ya useless security gak  automation gak "
"331","Netral",0,"nice "
"332","Netral",0,"always offline device even though the wifi is no lem"
"333","Negatif",-2,"aasi nya lemotsetiaya   aasi  hitungan  menit  masuk ulang   susah   berulang ulang  dakontrol  lamya"
"334","Negatif",-2,"rewel  susah koneksi  lamwatt nya gam s  ngresett"
"335","Netral",0,"ect good exation"
"336","Netral",0,"easy use and simply"
"337","Netral",0,"good acation made in indonesia "
"338","Netral",0,"aasinya sim mudah  user friendly"
"339","Netral",0,"excellent"
"340","Netral",0,"easy to install and ure quality is good"
"341","Netral",0," memuaskan mudah  gam utk oian nya"
"342","Negatif",-1,"ude wifi  g  ga   cctvnya   sut  g kocak"
"343","Netral",0,"iot amultiaccess"
"344","Positif",7,"edit terima kasih utk resnya maaf  u kasih bintang    mendaan atian  tolong betulkan sistem nya bardi lock nya   kirim online password offline password  time limited password mauone time password     pin adi   wai berkali           launch aoba tolong uji coba berkali terima kasih vge"
"345","Netral",0,"it is better if we move the socket to another e with different wifi  it can also be used"
"346","Netral",0,"good ormance"
"347","Netral",0,"manta"
"348","Netral",0,"mantap"
"349","Negatif",-2,"kamera cctv yg membantu mengecek rumah  ditinggalkan"
"350","Positif",1,"mantanget k nya bagus"
"351","Netral",0,"smart plug   diue   offline   online ue failed   ue  firmware "
"352","Netral",0,"membantu bgt  enteng aasinya dibanding mihome"
"353","Netral",0,"good app"
"354","Negatif",-3,"aasi membantu integrasi alat smart home lamuga oke mudah diatur  ui mudah dimi sayangnya  haaya   kejadian aot resing   isu  aasi   versi android  i android   setting lamasih  lancar taerkadang aot resing muncul "
"355","Netral",0,"helly"
"356","Negatif",-1,"hasilnya memuaskan  gambar suara  hasil rekaman nya"
"357","Netral",0," membantu"
"358","Positif",1,"mantab  futuristic bingitz"
"359","Netral",0,"mantah bardi tinggal  donlot mya tanabut sdcard n via lan  ect"
"360","Positif",1,"bagus"
"361","Negatif",-1,"ue  ng   jd lemot  lamuka restart kedisendiri  terusan"
"362","Netral",0,"ue      control warna lamtolong  ue software    user friendly  "
"363","Netral",0,"kereeen"
"364","Netral",0,""
"365","Netral",0,"ok cool smart device"
"366","Netral",0,"easy install and very hel"
"367","Netral",0,"it works fine for few years but then it wont res to the lights it no longer controlls my led lights for some reason the aas great features but  fix this issue"
"368","Netral",0,"bardi is very easy to install and ote like it very much"
"369","Netral",0,"simbut make house like smart home"
"370","Positif",1,"aasi  error meskisudah  close tetaja error notifnya muncul memory card  cctv iring    format  memory cardnya  sesuai  required system  bardi     record  so bad"
"371","Netral",0,"storage cannot br recognize in my bardi cctv in the ai dont know whether the ar my cctv cam please solve the issue"
"372","Netral",0,"very useful ael to see the condition without my ent"
"373","Netral",0,"mangstabbbb"
"374","Netral",0,"useful"
"375","Netral",0,"work erly after installation thanks bardi"
"376","Netral",0,"jeellleekkkkkk delayyy"
"377","Netral",0,"mantaap"
"378","Netral",0,"jarak  kontrol latan listrik"
"379","Netral",0,"overall best"
"380","Netral",0,"sueasy to use"
"381","Positif",1,"kualitas blm hd"
"382","Netral",0,"niceee"
"383","Netral",0,"diawal kaian  bagus samsuatu    memasant sd card  recording anehnya setiaya back  hcoe f   format t hin samsung a ngga  lancar  backnya"
"384","Netral",0,"good aation"
"385","Netral",0,"make the aike philio trouble"
"386","Positif",1,"mudah  fungsi cukunyak memenuhi kebutuhan"
"387","Positif",1," berkualitas uk "
"388","Negatif",-3,"jelek crash mulu caener reset setting mulu   kali sehari merek sebelah si bosman   instal ulang udah sejam loading doang"
"389","Netral",0,"mudah  osikan"
"390","Netral",0,"great technology"
"391","Positif",1,"bagus  cukumuaskan"
"392","Netral",0,"usefull and easy to connect"
"393","Netral",0,"tx"
"394","Netral",0,"easy and hel to auto switch my device"
"395","Positif",1,"bagus"
"396","Negatif",-1,"hardware yg   kaian ga  error kalo  error  hub cs  langsung  res"
"397","Negatif",-2,"mudah dii taadang  susah kedeteksi  taungkin   jaringan wifi  jelek sih"
"398","Netral",0,"combility issue on oreno"
"399","Netral",0,"goodthank u"
"400","Netral",0,"ok"
"401","Positif",1,"keren"
"402","Netral",0,"top"
"403","Positif",1,"good  bagus  berjalan lancar"
"404","Netral",0,"one of the best ato automate ur lighting striut the aconnection time to detect the striake to long to res ive waited about a minute but the on off button still disable to click and it always told me unable to connect when my devices is always red to the socket"
"405","Netral",0,"very usefull and good aation"
"406","Netral",0,"easy to use"
"407","Netral",0,"enjooy"
"408","Netral",0,"my auddenly isnt working on any of my wifi connections it was working ectly fine yesterday what is going on i even reinstalled the aust to be sure but i cant even log in it will not load edit customer service through whats auickly served me and their it dement swiftly solved my issues "
"409","Netral",0,"ayo server offline  diaiki"
"410","Positif",1,"bagus "
"411","Netral",0,"quite good amain issue was they did not have on to change internet source so you must reset if you want to change your wifi word or change internet source"
"412","Netral",0,"  memuaskan"
"413","Negatif",-1,"beli uk gagal nih ga  nyambung  hotsnya kertas njuk mengaturnya   ga  beda banget  yg  aasi untung  beli motion censor yg harga nya gak mahal rugi banget kalo beli uk bardi yg mahal"
"414","Negatif",-1,"aarena waran sistem imn berbayar  cctv  tdk bs detect memory card nya iya duanya  indoor   outdoor mgkn      berasumsi memory cardnya  bermasalah sdh coba  cabut ng   format  bermasalah jd uma cctv klo ga bs liat rekaman cctvnya"
"415","Netral",0,"gam settingnya tinggal colok aja  listrik jgn lu beli memory card yah "
"416","Negatif",-1," i auntuk universal remote ir   kecewa  asangat  resif   tekan berulang  deres"
"417","Netral",0,"the as very slow  couldnt be osoon when the aoff"
"418","Netral",0,"very good"
"419","Netral",0," coba ihasilnya memuaskan yg teeing dr bardi  layanan aftersalesnya mudahn jg memuaskan"
"420","Netral",0,"awesome"
"421","Netral",0," ude versi terbaruada bugaasi ditutuetasih aktif berjalan  aasinyasehingga mennyebabkan data boros  cehabis"
"422","Netral",0,"good apps"
"423","Netral",0,"mantap"
"424","Netral",0," fitur lengkaanya  lambat"
"425","Negatif",-4,"smart  suka auto off klo i wifi yg   hntung  wifi tambahan  beda wifi ga  mati smart nya cuman  kadang suka kambuh garansi ga datukar  cuman  cek  klo  cek ga   hardware bikin cadonk "
"426","Netral",0,"best"
"427","Netral",0," star is not even enough to describe my disantment its not as easy as it says it keeailing to connect you got too many things to fix not to mention that blinking lights when you restart and it fails so you restart it multitimes and it makes you dizzy"
"428","Positif",1,"keren  aasi smart home anak bangsa"
"429","Netral",0,"fast link"
